Mesh ID,Common name,Synonyms
D007306,Temefos,Temephos|Temefos|Difos|Abate
D065127,Aripiprazole,"Aripiprazole|7-(4-(4-(2,3-dichlorophenyl)-1-piperazinyl)butyloxy)-3,4-dihydro-2(1H)-quinolinone|Abilify|OPC-14597|Aripiprazol|OPC 14597"
D065101,Lubiprostone,"Amitiza|SPI 0211|SPI0211|SPI-0211|RU0211|0211, SPI|0211, RU|RU-0211|Prostan-1-oic acid, 16,16-difluoro-11-hydroxy-9,15-dioxo-, (11alpha)-|RU 0211|Lubiprostone"
D020533,Bevacizumab,Mvasi|Bevacizumab awwb|Bevacizumab|Avastin|Bevacizumab-awwb
D018926,Fluticasone,"Flonase|Flixotide|Flovent HFA|Cutivate|Fluticasone Propionate|Flixonase|Propionate, Fluticasone|Flovent|HFA, Flovent|Fluticasone"
D007166,Everolimus,"SDZ-RAD|001, RAD|40-O-(2-hydroxyethyl)-rapamycin|RAD001|RAD 001|Afinitor|SDZ RAD|Certican|Everolimus|RAD, SDZ"
D019384,Pemetrexed,"Pemetrexed|MTA|LY-231,514|LY231514|231,514, LY|LY-231514|Pemetrexed Disodium|Disodium, Pemetrexed|Alimta|LY 231514|231514, LY|N-(4-(2-(2-amino-3,4-dihydro-4-oxo-7H-pyrrolo(2,3-d)pyrimdin-5-yl)ethyl)benzoyl)glutamic acid|LY 231,514"
D058891,Dutasteride,"GG-745|Avodart|GI198745|745, GG|GG 745|17beta-N-(2,5-bis(trifluoromethyl))phenyl-carbamoyl-4-aza-5alpha-androst-1-en-3-one|Dutasteride|GG745"
D058665,Nebivolol,"Lobivon|R 67555|R-67555|67555, R|R67555|Alpha,Alpha'-(Iminobis(Methylene))bis(6-Fluoro-3,4-dihydro)-2H-1-benzopyran-2-methanol|Nebilet|Hydrochloride, Nebivolol|Bystolic|Silostar|Nebivolol Hydrochloride|Nebivolol"
D052246,Celecoxib,SC 58635|SC-58635|Celebrex|SC58635|Celecoxib|4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide
D018722,Varenicline,"Chantix|Varenicline Tartrate|Champix|Varenicline|6,7,8,9-Tetrahydro-6,10-methano-6H-pyrazino(2,3-h)benzazepine"
D064804,Tadalafil,"IC 351|IC-351|Tadalafil|Cialis|IC351|Pyrazino(1',2':1,6)pyrido(3,4-b)indole-1,4-dione, 6-(1,3- benzodioxol-5-yl)-2,3,6,7,12,12a-hexahydro-2-methyl-, (6R,12aR)-"
D019380,Emtricitabine,"Emtricitabine|Beta L 2',3' dideoxy 5 fluoro 3' thiacytidine|Coviracil|Emtriva|Beta-L-2',3'-dideoxy-5-fluoro-3'-thiacytidine"
D019380,Tenofovir,"9-(2-Phosphonomethoxypropyl)adenine|9-(2-Phosphonylmethoxypropyl)adenine, (S)-isomer|9-PMPA (tenofovir)|Tenofovir Disoproxil Fumarate|Disoproxil Fumarate, Tenofovir|(R)-9-(2-phosphonylmethoxypropyl)adenine|9-(2-Phosphonylmethoxypropyl)adenine|Tenofovir|Tenofovir Disoproxil|9-(2-Phosphonylmethoxypropyl)adenine, (+-)-isomer|9-(2-Phosphonylmethoxypropyl)adenine, (R)-isomer - T357098|Disoproxil, Tenofovir|Viread|Fumarate, Tenofovir Disoproxil"
D047228,Valsartan,"Diovan|Nisis|Miten|Kalpress|Valsartan|48933, CGP|Tareg|N-valeryl-N-((2'-(1H-tetrazol-5-yl)biphenyl-4-yl)methyl)valine|Provas|Vals|CGP 48933"
D018501,Etanercept,"Recombinant Human Dimeric TNF Receptor Type II IgG Fusion Protein|TNT Receptor Fusion Protein|Enbrel|TNFR Fc Fusion Protein|TNR 001|TNFR-Fc Fusion Protein|Etanercept|TNTR-Fc|TNR-001|Fusion Protein, TNFR-Fc|Recombinant Human Dimeric TNF Receptor Type II-IgG Fusion Protein|TNF Receptor Type II IgG Fusion Protein|TNF Receptor Type II-IgG Fusion Protein|Erelzi|Etanercept-szzs|TNR001"
D003879,Adapalene,"CD271|Differine|Adaferin|CD 271|Adapalene|271, CD|Differin|6-(3-(1-adamantyl)-4-methoxyphenyl)-2-naphthoic acid|CD-271"
D000074322,Cetuximab,IMC-C225|Cetuximab|C225|MAb C225|IMC C225|Erbitux
D018696,Rivastigmine,"RivastigmineTartrate|Rivastigmine Hydrogen Tartrate|Hydrogen Tartrate, Rivastigmine|(S)-N-Ethyl-3-((1-dimethyl-amino)ethyl)-N-methylphenylcarbamate|ENA-713|ENA713|Rivastigmine|Exelon|ENA 713|SDZ ENA 713|Tartrate, Rivastigmine Hydrogen|713, SDZ ENA|ENA 713, SDZ|713, ENA"
D000074322,Trastuzumab,"Trastuzumab-qyyp|Trastuzumab|Herceptin|beta, Trastuzumab|Trastuzumab beta|Trazimera|Trastuzumab qyyp"
D018501,Adalimumab,"Antibody, D2E7|Adalimumab-atto|D2E7 Antibody|Amjevita|Cyltezo|Adalimumab|Humira|Adalimumab-adbm"
D000077203,Canagliflozin,"Invokana|Canagliflozin, Anhydrous|Canagliflozin|1-(Glucopyranosyl)-4-methyl-3-(5-(4-fluorophenyl)-2-thienylmethyl)benzene - T777973|Canagliflozin Hemihydrate"
D019161,Atorvastatin,"Atorvastatin, Calcium Salt|Atorvastatin|Atorvastatin Calcium Hydrate|Atorvastatin Calcium|Lipitor|(3R,5R)-7-(2-(4-Fluorophenyl)-5-isopropyl-3-phenyl-4-(phenylcarbamoyl)-1H-pyrrol-1-yl)-3,5-dihydroxyheptanoic acid|Atorvastatin Calcium Anhydrous|CI-981|CI981|Liptonorm|Atorvastatin Calcium Trihydrate|CI 981"
D018501,Rituximab,"Rituximab|Rituxan|IDEC C2B8 Antibody|IDEC-C2B8|Rituximab CD20 Antibody|GP2013|Mabthera|CD20 Antibody, Rituximab|IDEC-C2B8 Antibody|IDEC C2B8"
D018501,Infliximab,"cA2, Monoclonal Antibody|MAb cA2|Monoclonal Antibody cA2|Infliximab-dyyb|Infliximab|Remicade|Inflectra|Infliximab-abda|Renflexis"
D000970,Bortezomib,"341, PS|LDP 341|Velcade|Bortezomib|PS 341|LDP-341|PS-341|LDP341|PS341"
D000964,Capecitabine,Xeloda|Capecitabine|N(4)-pentyloxycarbonyl-5'-deoxy-5-fluorocytidine
D011500,Linezolid,"PNU-100766|Linezolid|100766, U|Zyvox|U-100766|PNU 100766|PNU100766|U 100766|N-((3-(3-fluoro-4-morpholinylphenyl)-2-oxo-5-oxazolidinyl)methyl)acetamide|Linezolide|U100766"
D000924,Ezetimibe,"Ezetimib|Ezetrol|58235, SCH|Ezetimibe|SCH 58235|Zetia|SCH58235|SCH-58235|(1-(4-fluorophenyl)-(3R)-(3-(4-fluorophenyl)-(3S)-hydroxypropyl)-(4S)-(4-hydroxyphenyl)-2-azetidinone)"
D047428,Dasatinib,"N-(2-chloro-6-methylphenyl)-2-(6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-ylamino)thiazole-5-carboxamide|BMS354825|354825, BMS|Sprycel|BMS-354825|BMS 354825|Dasatinib|(18F)-N-(2-chloro-6-methylphenyl)-2-(6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-ylamino)thiazole-5-carboxamide"
D007155,Natalizumab,Tysabri|Antegren|Natalizumab
D018927,Omalizumab,Xolair|Omalizumab
D050071,Denosumab,Xgeva|AMG 162|Prolia|Denosumab
D057966,Cinacalcet,"AMG 073|Sensipar|KRN 1493|Alpha-methyl-N-(3-(3-(trifluoromethyl)phenyl)propyl)-1-naphthalenemethanamine, (alphaR)-hydrochloride|AMG073|Cinacalcet Hydrochloride|Cinacalcet"
D054795,Liraglutide,"Victoza|Saxenda|2211, NN|NN2211|Liraglutide|NN 2211|NN-2211"
D017320,Darunavir,"UIC-94017|114, TMC|UIC 94017|Darunavir Ethanolate|TMC 114|Ethanolate, Darunavir|Darunavir|Prezista|TMC-114|TMC114|UIC94017"
D000998,Palivizumab,Monoclonal Antibody MEDI 493|MEDI 493|Palivizumab|MEDI-493|Monoclonal Antibody MEDI493|MEDI493|Synagis|Monoclonal Antibody MEDI-493
D026941,Ranolazine,"Ranolazine Hydrochloride|Renolazine|Ranolazine HCl|RS 43285-193|HCl, Ranolazine|N-(2,6-dimethylphenyl)-4-(2-hydroxy-3-(2-methoxyphenoxy)propyl)-1-piperazineacetamide|RS 43285193|RS 43285|Hydrochloride, Ranolazine|43285, RS|RS 43285 193|RS43285|RS-43285|Ranolazine Dihydrochloride|Ranexa|Ranolazine|Dihydrochloride, Ranolazine"
D006074,Febuxostat,"TEI-6720|6720, TEI|Uloric|Febuxostat|2-(3-cyano-4-isobutoxyphenyl)-4-methyl-5-thiazolecarboxylic acid|TEI 6720|TEI6720"
D000998,Sofosbuvir,"PSI 7977|Sofosbuvir|PSI7977|PSI-7977|2-((5-(2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-yl)-4-fluoro-3-hydroxy-4-methyltetrahydrofuran-2-ylmethoxy)phenoxyphosphorylamino)propionic acid isopropyl ester|7977, PSI|GS 7977|GS-7977|GS7977|Sovaldi"
D054873,Linagliptin,"Linagliptin|BI1356|BI-1356|BI 1356|(R)-8-(3-amino-piperidin-1-yl)-7-but-2-ynyl-3-methyl-1-(4-methyl-quinazolin-2-ylmethyl)-3,7-dihydro-purine-2,6-dione|Trajenta|1H-purine-2,6-dione, 8-((3r)-3-amino-1-piperidinyl)-7-(2-butynyl)-3,7-dihydro-3-methyl-1-((4-methyl-2-quinazolinyl)methyl)-|Tradjenta|1356, BI"
D065692,Cobicistat,"GS9350|GS-9350|9350, GS|GS 9350|Tybost|Cobicistat"
D003879,Ustekinumab,Stelara|CNTO 1275|Ustekinumab|CNTO-1275
D065427,Rivaroxaban,"Rivaroxaban|5-chloro-N-(((5S)-2-oxo-3-(4-(3-oxomorpholin-4-yl)phenyl)-1,3-oxazolidin-5-yl)methyl)thiophene-2-carboxamide|BAY 59 7939|Xarelto|BAY 59-7939|BAY 597939"
D000959,Travoprost,"AL 6221|(((1R)-(1alpha(Z),2beta(1E,3R*),3alpha,5alpha))-7-(3,5-dihydroxy-2-(3-hydroxy-4-(3-trifluoromethyl)phenoxy)-1-butenyl)cyclopentyl)-5-heptenoic acid, 1-methylethyl ester|AL-6221|Travatan Z|Travoprost|Z, Travatan|AL6221|Travatan"
D020533,Ranibizumab,"Lucentis|V2, RhuFab|RhuFab V2|Ranibizumab"
D006993,Eszopiclone,Lunesta|Eszopiclone|Estorra
D014151,Pregabalin,"(R-)-3-isobutyl GABA|3-isobutyl GABA|3 isobutyl GABA|Pregabalin|GABA, 3-isobutyl|1008, CI|CI1008|3-(aminomethyl)-5-methylhexanoic acid|Lyrica|(S+)-3-isobutyl GABA|(S)-3-(aminomethyl)-5-methylhexanoic acid|CI 1008|CI-1008"
D006401,Filgrastim,"Tbo Filgrastim|Zarxio|G CSF Recombinant, Human Methionyl|Recombinant Methionyl Human Granulocyte Colony Stimulating Factor|Filgrastim|Filgrastim-sndz|Tbo-Filgrastim|R metHuG CSF|Granix|Topneuter|G-CSF Recombinant, Human Methionyl|Neupogen|R-metHuG-CSF|Recombinant-Methionyl Human Granulocyte Colony-Stimulating Factor"
D018501,Abatacept,"Abatacept|Orencia|Cytotoxic T Lymphocyte-Associated Antigen 4-Immunoglobulin|CTLA4-Ig Immunoconjugate|CTLA-4-Ig|LEA29Y|BMS-224818|CTLA4 Ig Immunoconjugate|BMS224818|Nulojix|CTLA4-Ig|CTLA4-Fc|BMS 188667|Immunoconjugate, CTLA4-Ig|BMS-188667|Cytotoxic T Lymphocyte Associated Antigen 4 Immunoglobulin|BMS 224818|Belatacept|BMS188667"
D002614,Sevelamer,"Hydrochloride, Sevelamer|GT335-012|Sevelamer Hydrochloride|Sevelamer|GT335012|GT335 012|Sevelamer Carbonate|RenaGel|Carbonate, Sevelamer"
D000991,Dabigatran,"N-((2-(((4-(aminoiminomethyl)phenyl)amino)methyl)-1-methyl-1H-benzimidazol-5-yl)carbonyl)-N-2-pyridinyl-beta-alanine|Dabigatran Etexilate Mesylate|BIBR 1048|Pradaxa|Etexilate Mesylate, Dabigatran|Mesylate, Dabigatran Etexilate|Dabigatran|Dabigatran Etexilate|Etexilate, Dabigatran"
D011480,Simeprevir,"TMC435350|435350, TMC|TMC 435350|Simeprevir|TMC435|435, TMC|TMC-435|N-(17-(2-(4-isopropylthiazole-2-yl)-7-methoxy-8-methylquinolin-4-yloxy)-13-methyl-2,14-dioxo-3,13-diazatricyclo(13.3.0.04,6)octadec-7-ene-4-carbonyl)(cyclopropyl)sulfonamide|TMC 435|Olysio|TMC-435350"
D058671,Acebutolol,B 17803 A|Novo-Acebutolol|M |Rhotral| B 17803A|Apo Acebutolol|B17803 A|Acebutolol Hydrochloride|Neptal|Monitan|Novo Acebutolol|M|B-17803 A|Apo-Acebutolol|Prent|Acebutolol|NovoAcebutolol|&|Acetobutolol|ApoAcebutolol|Sectral
D000925,Acenocoumarol,Sinthrome|Nicoumalone|Syncoumar|MiniSintrom|Synthrom|Sintrom|Acenocoumarin|Acenocoumarol|Mini Sintrom|Sinkumar|Syncumar|Mini-Sintrom
D000074322,Alemtuzumab,"Campath 1M|Campath-1M|Campath 1 G|Campath-1H, Monoclonal Antibody|Monoclonal Antibody Campath-1H|Campath-1H|MabCambath|Campath1G|Campath|Lemtrada|Campath1H|Campath 1G|Campath-1G|Campath-1-G|Campath 1H|Alemtuzumab|Monoclonal Antibody Campath 1H|Antibody Campath-1H, Monoclonal"
D000082082,Ipilimumab,"Ipilimumab|MDX CTLA 4|Anti-CTLA-4 MAb Ipilimumab|Yervoy|Anti CTLA 4 MAb Ipilimumab|MDX 010|Ipilimumab, Anti-CTLA-4 MAb|MDX-CTLA-4|MDX-010|MDX010"
D018492,Acepromazine,"Acetazine|Acepromazine Maleate|Vetranquil|Plegicil|Calmivet|Maleate, Acepromazine|Acepromazine|Acetylpromazine|Acetopromazine"
D000077122,Sugammadex,Sugammadex Sodium|Bridion|Org 25969|6-Perdeoxy-6-per(2-carboxyethyl)thio-gamma-cyclodextrin sodium salt|Sugammadex
D003473,Rocuronium,"1-(17-(Acetoyl)-3-hydroxy-2-(4-morpholinyl)androstan-16-yl)-1-(2-propenyl)pyrrolidinium|ORG9426|ORG-9426|ORG 9426|Rocuronium Bromide|Esmerone|Rocuronium|Esmeron|Zemuron|Androstane-3,17-diol, 2-(4-morpholinyl)-16-(1-(2-propen-1-yl)-1-pyrrolidiniumyl)-, 17-acetate, (2beta,3alpha,5alpha,16beta,17beta)-|Pyrrolidinium, 1-((2beta,3alpha,5alpha,16beta,17beta)-17-(acetyloxy)-3-hydroxy-2-(4-morpholinyl)androstan-16-yl)-1-(2-propenyl)-, bromide"
D050257,Docetaxel,Docetaxel|RP 56976|Docetaxel Trihydrate|Docetaxol|Docetaxel Anhydrous|Docetaxel Hydrate|N-Debenzoyl-N-tert-butoxycarbonyl-10-deacetyltaxol|N Debenzoyl N tert butoxycarbonyl 10 deacetyltaxol|RP-56976|Taxotere|NSC 628503|Taxoltere Metro|RP56976
