Wikipedia link,Common name,Synonyms
https://en.wikipedia.org/wiki/Aspirin,Aspirin,Bayer Aspirin
https://en.wikipedia.org/wiki/Ampicillin,Ampicillin,Principen
https://en.wikipedia.org/wiki/Amphetamine,Amphetamine,Evekeo|Adderall
https://en.wikipedia.org/wiki/Amoxicillin,Amoxicillin,
https://en.wikipedia.org/wiki/BCG%20vaccine,BCG vaccine,BCG Vaccine|BCG Vaccine AJV
https://en.wikipedia.org/wiki/Ciprofloxacin,Ciprofloxacin,Ciloxan|Cipro|Neofloxin
https://en.wikipedia.org/wiki/Coal%20tar,Coal tar,Balnetar|Cutar
https://en.wikipedia.org/wiki/Cocaine,Cocaine,Neurocaine|&lt;ref&gt;{{cite book | vauthors = Nordegren T |title=The A-Z Encyclopedia of Alcohol and Drug Abuse |date=2002 |publisher=Universal-Publishers |isbn=9781581124040 |page=461 |url=https://books.google.com/books?id=4yaGePenGKgC&amp;pg=PA461 }}&lt;/ref&gt; Goprelto|&lt;ref name=&quot;Goprelto FDA label&quot; /&gt; Numbrino|&lt;ref name=&quot;Numbrino FDA label&quot; /&gt;
https://en.wikipedia.org/wiki/Erythromycin,Erythromycin,Eryc|Erythrocin
https://en.wikipedia.org/wiki/Gamma-Hydroxybutyric%20acid,Gamma-Hydroxybutyric acid,
https://en.wikipedia.org/wiki/Nicotinamide,Nicotinamide,
https://en.wikipedia.org/wiki/Oxycodone,Oxycodone,OxyContin|Endone
https://en.wikipedia.org/wiki/Penicillin,Penicillin,
https://en.wikipedia.org/wiki/Riboflavin,Riboflavin,
https://en.wikipedia.org/wiki/Scopolamine,Scopolamine,Transdermscop|Kwells
https://en.wikipedia.org/wiki/Thiamine,Thiamine,
https://en.wikipedia.org/wiki/Vitamin%20C,Vitamin C,Ascor|Cevalin
https://en.wikipedia.org/wiki/Niacin,Niacin,Niacor|Niaspan
https://en.wikipedia.org/wiki/Botulinum%20toxin,Botulinum toxin,Botox|Myobloc|Jeuveau
https://en.wikipedia.org/wiki/Clozapine,Clozapine,Clozaril|Leponex|Versacloz
https://en.wikipedia.org/wiki/Phenytoin,Phenytoin,Dilantin
https://en.wikipedia.org/wiki/Vitamin%20A,Vitamin A,
https://en.wikipedia.org/wiki/Retinol,Retinol,
https://en.wikipedia.org/wiki/Folate,Folate,Folicet|Folvite
https://en.wikipedia.org/wiki/Valproate,Valproate,
https://en.wikipedia.org/wiki/Valproate,Valproate,Depakote
https://en.wikipedia.org/wiki/Smallpox%20vaccine,Smallpox vaccine,ACAM2000|Imvanex|Jynneos
https://en.wikipedia.org/wiki/Smallpox%20vaccine,Smallpox vaccine,Imvanex|Imvamune|Jynneos
https://en.wikipedia.org/wiki/Glutamine,Glutamine,Endari|Nutrestore
https://en.wikipedia.org/wiki/MMR%20vaccine,MMR vaccine,M-M-R II|Priorix|Tresivac
https://en.wikipedia.org/wiki/Paracetamol,Paracetamol,Tylenol|Panadol
https://en.wikipedia.org/wiki/Naloxone,Naloxone,Narcan|Evzio|Nyxoid
https://en.wikipedia.org/wiki/Chlorpromazine,Chlorpromazine,Largactil|Thorazine|Sonazine
https://en.wikipedia.org/wiki/Sertraline,Sertraline,Zoloft|Lustral
https://en.wikipedia.org/wiki/Ciclosporin,Ciclosporin,Neoral|Sandimmune|Restasis|other
https://en.wikipedia.org/wiki/Tacrolimus,Tacrolimus,Prograf|Advagraf|Protopic
https://en.wikipedia.org/wiki/Methaqualone,Methaqualone,Bon-Sonnil|Dormogen|Dormutil|Mequin|Mozambin|Pro Dorm|Quaalude|Somnotropon|Torinal|Tuazolona&lt;br/&gt;
https://en.wikipedia.org/wiki/Mefloquine,Mefloquine,Lariam|Mephaquin|Mefliam
https://en.wikipedia.org/wiki/Polio%20vaccine,Polio vaccine,Ipol|Poliovax
https://en.wikipedia.org/wiki/Escitalopram,Escitalopram,Cipralex|Lexapro
https://en.wikipedia.org/wiki/Streptomycin,Streptomycin,
https://en.wikipedia.org/wiki/Whole%20blood,Whole blood,
https://en.wikipedia.org/wiki/Warfarin,Warfarin,Coumadin
https://en.wikipedia.org/wiki/Heparin,Heparin,
https://en.wikipedia.org/wiki/Tramadol,Tramadol,Ultram|Zytram|Qdolo
https://en.wikipedia.org/wiki/Metformin,Metformin,Fortamet|Glucophage|Glumetza
https://en.wikipedia.org/wiki/Ertapenem,Ertapenem,Invanz
https://en.wikipedia.org/wiki/Theophylline/ephedra/hydroxyzine,Theophylline/ephedra/hydroxyzine,Marax
https://en.wikipedia.org/wiki/Benzphetamine,Benzphetamine,Didrex|Recede
https://en.wikipedia.org/wiki/Melatonin,Melatonin,Circadin|Slenyto
https://en.wikipedia.org/wiki/Topiramate,Topiramate,Topamax|Trokendi XR|Qudexy XR
https://en.wikipedia.org/wiki/Loperamide,Loperamide,Imodium
https://en.wikipedia.org/wiki/Lidocaine,Lidocaine,Xylocaine|Ztlido
https://en.wikipedia.org/wiki/Human%20chorionic%20gonadotropin,Human chorionic gonadotropin,Novarel|Pregnyl
https://en.wikipedia.org/wiki/Infliximab,Infliximab,Remicade|Remsima|Inflectra
https://en.wikipedia.org/wiki/Isoflurane,Isoflurane,Forane
https://en.wikipedia.org/wiki/Dexamethasone,Dexamethasone,Dextenza|Ozurdex|Cortidex|Neofordex
https://en.wikipedia.org/wiki/Lamotrigine,Lamotrigine,Lamictal
https://en.wikipedia.org/wiki/Zolpidem,Zolpidem,Ambien
https://en.wikipedia.org/wiki/Acetylcysteine,Acetylcysteine,Acetadote|Fluimucil|Mucomyst
https://en.wikipedia.org/wiki/Dexbrompheniramine/pseudoephedrine,Dexbrompheniramine/pseudoephedrine,Drixoral
https://en.wikipedia.org/wiki/Bupropion,Bupropion,Wellbutrin|Zyban
https://en.wikipedia.org/wiki/Interferon%20beta-1a,Interferon beta-1a,Avonex|Rebif|Plegridy
https://en.wikipedia.org/wiki/Tadalafil,Tadalafil,Cialis|Cidala|Adcirca
https://en.wikipedia.org/wiki/Antivenom,Antivenom,
https://en.wikipedia.org/wiki/Orlistat,Orlistat,Xenical|Alli
https://en.wikipedia.org/wiki/Sodium%20nitrite,Sodium nitrite,
https://en.wikipedia.org/wiki/Olestra,Olestra,Olean
https://en.wikipedia.org/wiki/Loratadine,Loratadine,Claritin|Claratyne|Clarityn
