Mesh ID,Generic name,Common name,Synonyms
D007306,Temefos,Temefos,Temefos|Temephos|Difos|Abate
D058671,Acebutolol,Acebutolol,Rhotral|Sectral|NovoAcebutolol|B 17803 A|M| B 17803A|Acebutolol|Apo-Acebutolol|Prent|ApoAcebutolol|Acebutolol Hydrochloride|Novo Acebutolol|&|B-17803 A|Apo Acebutolol|B17803 A|M |Acetobutolol|Monitan|Neptal|Novo-Acebutolol
D000925,Acenocoumarol,Acenocoumarol,Sinthrome|Syncumar|Sinkumar|Mini-Sintrom|Acenocoumarin|Synthrom|Nicoumalone|Acenocoumarol|MiniSintrom|Sintrom|Mini Sintrom|Syncoumar
D018492,Acepromazine,Acepromazine,"Maleate, Acepromazine|Plegicil|Acetazine|Vetranquil|Acepromazine|Calmivet|Acetylpromazine|Acetopromazine|Acepromazine Maleate"
D058633,Acetaminophen,Acetaminophen,Acamol|Acetaco|Anacin-3|Tylenol|Anacin3|Paracetamol|APAP|N-(4-Hydroxyphenyl)acetanilide|Acetominophen|Anacin 3|p-Hydroxyacetanilide|Datril|p-Acetamidophenol|Acetaminophen|Acephen|Acetamidophenol|N-Acetyl-p-aminophenol|Hydroxyacetanilide|Algotropyl|Panadol
D004232,Acetazolamide,Acetazolamide,"Huma Zolamide|Huma-Zolamide|Ak Zol|Diuramide|HumaZolamide|AkZol|Glauconox|Apo Acetazolamide|Acetazolamide Sodium, (Sterile)|Défiltran|Acetazolamide|Ak-Zol|Acetazolam|Acetazolamide, Monosodium Salt|Diamox|ApoAcetazolamide|Glaupax|Apo-Acetazolamide|Diacarb|Edemox|Acetadiazol"
D007004,Acetohexamide,Acetohexamide,Dymelor|Gamadiabet|Acetohexamide|Dimelor
D018697,Acetylcarnitine,Acetylcarnitine,"Branigen|Carnitine, Acetyl|Medosan|Acetyl L Carnitine|Acetyl Carnitine|Acetylcarnitine|Levocarnitine Acetyl|Acetyl-L-Carnitine|Alcar|Acetylcarnitine, (R)-Isomer"
D016166,Acetylcysteine,Acetylcysteine,"Optipect Hustengetränk|durabronchal|N-Acetylcysteine|Mercapturic Acid|Acetyst|Azubronchin|Mucomyst|Monosodium Salt Acetylcysteine|Muco Sanigen|Exomuc|N Acetylcysteine|Mucosolvin|Acemuc|Broncholysin|Fabrol|Fluimucil|Airbron|Ilube|Codotussyl|Acetylcysteine Zinc|Fluprowit|Lantamed|Mucosil|Frekatuss|Broncho-Fips|Acetylcystein Heumann|Acetylcysteine, Monoammonium Salt|Acetylcystein, mentopin|Cystamucil|Muciteran|Hoestil|N-Acetyl-L-cysteine|Alveolex|mentopin Acetylcystein|Acetabs|Sodium, Acetylcysteine|Bromuc|Eurespiran|Mucopect, Dampo|N Acetyl L cysteine|Sanigen, Muco|Broncho Fips|Acetylcysteine, (DL)-Isomer|MPectil|Acid, Mercapturic|Siran|Bisolvon NAC|Acétylcystéine GNR|Siccoral|NAC AL|Acetylcysteine Sodium|Hustengetränk, Optipect|BronchoFips|Broncoclar|Solmucol|Genac|Acetylcystein Atid|Jenapharm|Larylin NAC|Dampo Mucopect|Mucosol|acebraus|Acetylcystein Trom|Acetylcysteine, (D)-Isomer|Jenacystein|Hydrochloride, Acetylcysteine|Acetylcystein AL|Acetylcysteine|Monoammonium Salt Acetylcysteine|M Pectil|Zinc, Acetylcysteine|M-Pectil|NAC, Bisolvon|Acetylin|NAC Zambon|Acetylcysteine, Monosodium Salt|Acetylcysteine Hydrochloride|Lindocetyl|Zambon, NAC"
D000889,Acecainide,Acecainide,"Acecainide Monohydrochloride|N Acetylprocainamide|Acecainide|N-Acetylprocainamide|Monohydrochloride, Acecainide|Acecainide Hydrochloride|Hydrochloride, Acecainide|Acetylprocainamide"
D000900,Spectinomycin,Spectinomycin,"Stanilo|Spectinomycin Dihydrochloride, Anhydrous|Ferkel Spectam|Prospec|Spectinomycin Dihydrochloride, Pentahydrate|Spectinomycin|Actinospectacin|Salmosan T|Spectam|Adspec|Spectam, Ferkel|Kempi|Salmosan-T|Spectinomycin Hydrochloride|Trobicin"
D000998,Acyclovir,Acyclovir,"Aciclobeta|Aci-Sanorania|Virax-Puren|Acivir|Aciclovir Sanorania|Wellcome 248U|Avirax|Herpetad|Antiherpes Creme|Laciken|Virax Puren|Zoliparin|Acyclo-V|Alonga, Aciclovir|Virmen|Virupos|Aci Sanorania|Acyclovir|Acipen Solutab|Activir|Zovirax|Wellcome248U|Maynar|Cusiviral|Sodium, Acyclovir|Herpofug|Virherpes|Acyclovir Sodium|Aciclovir-Sanorania|ViraxPuren|Clonorax|9-((2-Hydroxyethoxy)methyl)guanine|Acyclo V|Cicloferon|Mapox|Virzin|Wellcome-248U|Viclovir|Herpotern|Zyclir|Acic|Acifur|Herpoviric|Supraviran|Isavir|Genvir|Vipral|Solutab, Acipen|Milavir|Aciclovir|Aciclovir Alonga|Opthavir|Aciclostad|aciclovir von ct|Virolex|Acycloguanosine"
D000218,Adamantane,Adamantane,Diamantane|Adamantane
D061567,Ajmaline,Ajmaline,Ajmaline Hydrochloride|Wolfina|Rauverid|Serenol|Cardiorythmine|Gilurtymal|Tachmalin|Aritmina|Ajmaline
D058666,Albuterol,Albuterol,Sultanol|Ventolin|Proventil|Albuterol Sulfate|Albuterol|2-t-Butylamino-1-(4-hydroxy-3-hydroxy-3-hydroxymethyl)phenylethanol|Salbutamol
D018733,Alcuronium,Alcuronium,"Alcuronium Chloride|Alcuronium Dichloride|Allnortoxiferine|N,N'-Diallylnortoxiferinium Dichloride|Dichloride, Alcuronium|Alcuronium|Alloferin|Dichloride, N,N'-Diallylnortoxiferinium|Diallylnortoxiferine|Dialferine"
D018161,Aldosterone,Aldosterone,"Aldosterone, (11 beta,17 alpha)-Isomer|Aldosterone, (+-)-Isomer|Aldosterone"
D016166,Allopurinol,Allopurinol,Allpargin|Apulonga|Allorin|Roucol|Allopurinol|Zyloric|Zygout|Hamarin|Xanthomax|Lysuron|Uribenz|Pan Quimica|Allural|Atisuril|Progout|Lopurin|Caplenal|Allohexan|Foligan|Tipuric|Purinol|Milurite|Xanturic|Milurit|Urtias|Cellidrin|Jenapurinol|Embarin|Uripurinol|Novopurol|Urosin|Allohexal|Pureduct|Apurin|Alloprin|Zyloprim|Capurate|Remid|Allopurin|Uridocid|Suspendol|Bleminol|Rimapurinol
D011372,Allylestrenol,Allylestrenol,Turinal|Gestanon|Gestanin|Allylestrenol|Allyloestrenol
D065108,Eflornithine,Eflornithine,"DL-alpha-Difluoromethylornithine|alpha Difluoromethyl Ornithine|Eflornithine|Difluoromethylornithine|MDL-71,782 A|Eflornithine Hydrochloride|DL alpha Difluoromethylornithine|alpha-Difluoromethylornithine|alpha Difluoromethylornithine|Vaniqa|Eflornithine Monohydrochloride, Monohydrate|MDL71,782 A|RMI 71782|Ornithine, alpha-Difluoromethyl|MDL 71,782 A|Ornidyl|alpha-Difluoromethyl Ornithine"
D009294,Alphaprodine,Alphaprodine,"Nisentil|Hydrochloride, Alphaprodine|Alphaprodine Hydrochloride|Prodine|Alphaprodine"
D011372,Algestone,Algestone,"Dihydroxyprogesterone|16 alpha,17-Dihydroxypregn-4-ene-3,20-dione|Algestone|Pregn-4-ene-3,20-dione, 16,17-dihydroxy-, (16alpha)-|Alphasone"
D018757,Alprazolam,Alprazolam,"Nu-Alpraz|Xanax|Nu Alpraz|Tafil|Apo Alpraz|Alprazolan|Apo-Alpraz|Cassadan|D65MT|Ralozam|Kalma|D-65MT|U-31,889|Novo Alprazol|Esparon|Alprazolam|Trankimazin|Alprox|U31,889|Novo-Alprazol"
D013565,Alprenolol,Alprenolol,Aptin-Duriles|Alfeprol|H5628|Aptin Duriles|Aptine|AptinDuriles|Alprenolol|H-56-28|Aptina|1-(o-Allylphenoxy)-3-(isopropylamino)-2-propanol|Aptin|Alpheprol|H 56 28|Alprenolol Hydrochloride
D064804,Alprostadil,Alprostadil,Muse|PGE1|Sugiran|Caverject|Lipo-PGE1|Minprog|PGE1alpha|Vasaprostan|Viridal|Edex|Prostavasin|Prostin VR|Prostine VR|Prostaglandin E1alpha|Prostaglandin E1|Lipo PGE1|Alprostadil
